GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  ,POP
01531,53773245.0,403234,20.762,0.156,42.319125,-72.130814,999.0
01532,47840776.0,705398,18.471,0.272,42.323342,-71.646236,14155.0
01534,22683893.0,325551,8.758,0.126,42.142074,-71.643348,5631.0
01535,55079781.0,1759511,21.266,0.679,42.267564,-72.066876,4680.0
01536,21589199.0,748441,8.336,0.289,42.231309,-71.692642,6888.0
01537,18084549.0,295746,6.982,0.114,42.158966,-71.897051,2248.0
01540,50104202.0,2048499,19.345,0.791,42.116263,-71.857465,11291.0
01541,91769490.0,1032231,35.432,0.399,42.454125,-71.87754,3413.0
01542,10428067.0,422663,4.026,0.163,42.204251,-71.908907,2202.0
01543,90948947.0,2972529,35.116,1.148,42.388285,-71.969865,7973.0
01545,53731509.0,2717798,20.746,1.049,42.284767,-71.714228,35299.0
01550,52418639.0,1611501,20.239,0.622,42.059737,-72.033908,16719.0
01560,9235408.0,270460,3.566,0.104,42.175395,-71.674223,4527.0
01561,319275.0,0,0.123,0.0,42.44397,-71.685583,330.0
01562,85048712.0,3040989,32.837,1.174,42.247211,-71.991867,11688.0
01564,79294039.0,2752967,30.616,1.063,42.447924,-71.776045,7808.0
01566,73429945.0,2560917,28.351,0.989,42.103214,-72.079545,6294.0
01568,55570131.0,610353,21.456,0.236,42.176526,-71.603588,7480.0
01569,75310392.0,1580615,29.078,0.61,42.05593,-71.631232,13569.0
01570,32005193.0,5800852,12.357,2.24,42.047532,-71.846952,16767.0
01571,53953607.0,2745002,20.832,1.06,42.053778,-71.935075,11390.0
01581,53357557.0,2228806,20.601,0.861,42.268426,-71.613309,18272.0
01583,32682777.0,2354742,12.619,0.909,42.369417,-71.785036,7591.0
01585,66161583.0,1669172,25.545,0.644,42.240796,-72.162645,4554.0
01588,22296366.0,1649002,8.609,0.637,42.118794,-71.672494,9733.0
01590,82912169.0,4181381,32.013,1.614,42.132051,-71.750318,8875.0
01602,14933022.0,631589,5.766,0.244,42.269189,-71.850728,22819.0
01603,11692453.0,340394,4.514,0.131,42.243826,-71.843569,19916.0
01604,16672241.0,478924,6.437,0.185,42.253254,-71.767957,34677.0
01605,14613490.0,341305,5.642,0.132,42.289683,-71.787793,26221.0
01606,15353873.0,24032,5.928,0.009,42.315249,-71.795741,19077.0
01607,8190297.0,136952,3.162,0.053,42.225974,-71.788894,8351.0
01608,1159107.0,0,0.448,0.0,42.26198,-71.801462,3888.0
01609,9893464.0,56961,3.82,0.022,42.285114,-71.829987,22421.0
01610,5505966.0,9032,2.126,0.003,42.247049,-71.808366,23945.0
01611,8914388.0,647960,3.442,0.25,42.237604,-71.875838,2242.0
01612,39662258.0,1981212,15.314,0.765,42.296798,-71.928991,4845.0
01701,43947040.0,1816965,16.968,0.702,42.319587,-71.4428,31217.0
01702,20951465.0,1972408,8.089,0.762,42.282379,-71.436621,37206.0
01718,121367.0,0,0.047,0.0,42.519816,-71.429283,469.0
01719,26638827.0,317227,10.285,0.122,42.485985,-71.520985,4996.0
01720,51058853.0,1114408,19.714,0.43,42.483953,-71.438495,21361.0
01721,31948334.0,1395751,12.335,0.539,42.257755,-71.473526,16593.0
01730,35485226.0,462663,13.701,0.179,42.499295,-71.281889,13221.0
01731,2051821.0,0,0.792,0.0,42.456754,-71.279477,1396.0
01740,51653513.0,348725,19.944,0.135,42.439941,-71.601879,4897.0
01741,39560420.0,641489,15.274,0.248,42.53662,-71.361832,4852.0
01742,63287949.0,3359582,24.436,1.297,42.462911,-71.364496,17726.0
01745,1033539.0,3023,0.399,0.001,42.292114,-71.499197,397.0
01746,48280516.0,1067774,18.641,0.412,42.195951,-71.45343,13547.0
01747,13403501.0,438658,5.175,0.169,42.123007,-71.531404,5911.0
01748,67924485.0,4218835,26.226,1.629,42.224096,-71.540489,14925.0
01749,29843257.0,888432,11.523,0.343,42.389071,-71.545864,19063.0
01752,54039263.0,3201505,20.865,1.236,42.349617,-71.547214,38499.0
01754,13487658.0,407087,5.208,0.157,42.425955,-71.456256,10106.0
01756,46029815.0,552531,17.772,0.213,42.09387,-71.544519,5839.0
01757,38578115.0,706014,14.895,0.273,42.158692,-71.521419,28061.0
01760,38367781.0,2596509,14.814,1.003,42.284822,-71.348811,32786.0
01770,40897127.0,957827,15.79,0.37,42.231947,-71.372963,4119.0
