[A]행정구역별(시군구),행정구역별(시군구),[V]직업별,시점,취업인구-현거주지,취업인구-근무지
23004,읍부,0,2015년,9562,11032
23004,읍부,1,2015년,62,108
23004,읍부,2,2015년,1710,2032
23004,읍부,3,2015년,1446,1708
23004,읍부,4,2015년,1355,1371
23004,읍부,5,2015년,1021,1340
23004,읍부,6,2015년,494,520
23004,읍부,7,2015년,847,1160
23004,읍부,8,2015년,1202,1224
23004,읍부,9,2015년,1362,1475
23004,읍부,10,2015년,63,94
23005,면부,0,2015년,34823,35331
23005,면부,1,2015년,177,224
23005,면부,2,2015년,3095,3015
23005,면부,3,2015년,2918,2793
23005,면부,4,2015년,3973,4230
23005,면부,5,2015년,2041,1731
23005,면부,6,2015년,10175,10253
23005,면부,7,2015년,1754,1927
23005,면부,8,2015년,2667,2937
23005,면부,9,2015년,6609,6754
23005,면부,10,2015년,1414,1467
23010,중구,0,2015년,53409,113146
23010,중구,1,2015년,603,1392
23010,중구,2,2015년,8769,15071
23010,중구,3,2015년,11307,28894
23010,중구,4,2015년,8393,17358
23010,중구,5,2015년,6319,11130
23010,중구,6,2015년,777,871
23010,중구,7,2015년,4542,9732
23010,중구,8,2015년,6087,14137
23010,중구,9,2015년,6536,14173
23010,중구,10,2015년,76,388
23020,동구,0,2015년,32729,37648
23020,동구,1,2015년,338,564
23020,동구,2,2015년,5238,5874
23020,동구,3,2015년,5308,6761
23020,동구,4,2015년,3407,2999
23020,동구,5,2015년,3941,4376
23020,동구,6,2015년,90,52
23020,동구,7,2015년,3761,4659
23020,동구,8,2015년,6246,8242
23020,동구,9,2015년,4372,4117
23020,동구,10,2015년,28,4
23030,남구,0,2015년,186612,139331
23030,남구,1,2015년,2199,1702
23030,남구,2,2015년,31879,27097
23030,남구,3,2015년,31640,22720
23030,남구,4,2015년,22629,19099
23030,남구,5,2015년,24873,19725
23030,남구,6,2015년,331,209
23030,남구,7,2015년,19949,13725
23030,남구,8,2015년,29390,17885
23030,남구,9,2015년,23637,17122
23030,남구,10,2015년,85,47
23040,연수구,0,2015년,145270,120555
23040,연수구,1,2015년,3621,2514
23040,연수구,2,2015년,36590,32570
23040,연수구,3,2015년,32168,23010
23040,연수구,4,2015년,14086,14520
23040,연수구,5,2015년,16807,12796
23040,연수구,6,2015년,243,167
23040,연수구,7,2015년,10550,8925
23040,연수구,8,2015년,20294,13452
23040,연수구,9,2015년,10767,12512
23040,연수구,10,2015년,144,89
23050,남동구,0,2015년,248999,231497
23050,남동구,1,2015년,3920,3624
23050,남동구,2,2015년,49740,41112
23050,남동구,3,2015년,44190,40238
23050,남동구,4,2015년,26163,23128
23050,남동구,5,2015년,31663,28787
23050,남동구,6,2015년,960,929
23050,남동구,7,2015년,25674,24059
23050,남동구,8,2015년,41167,46144
23050,남동구,9,2015년,24713,22985
23050,남동구,10,2015년,809,491
23060,부평구,0,2015년,258191,191411
23060,부평구,1,2015년,2951,2531
23060,부평구,2,2015년,51919,38012
23060,부평구,3,2015년,47534,30030
23060,부평구,4,2015년,26890,22229
